case,start,solver,stopping,condition,converged,residual_calls,jacobian_calls,residual_norm,relative_residual,gradient_infinity,gradient_orthogonality,parameter_error,equivalent_parameter_error,fit_target,recovery_target,termination,parameters
collinear-1e-8,1,cholesky,model-only,2.44948975e8,true,9,6,7.07106781e-9,5.00000000e-1,5.55111512e-17,4.53246652e-9,5.00000000e-1,5.00000000e-1,false,false,"SolverConverged","[0.5000000000020665, -0.5000000000020665]"
collinear-1e-8,1,qr,model-only,2.44948975e8,true,9,6,7.07106781e-9,5.00000000e-1,5.55111512e-17,4.53246652e-9,5.00000000e-1,5.00000000e-1,false,false,"SolverConverged","[0.5000000000020173, -0.5000000000020173]"
collinear-1e-8,1,trust-cholesky,model-only,2.44948975e8,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"SolverConverged","[1.0000000000000002, -1.0000000000000002]"
collinear-1e-8,1,trust-qr,model-only,2.44948975e8,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.31430705e-9,3.31430705e-9,true,true,"SolverConverged","[1.000000003314307, -1.000000003314307]"
collinear-1e-8,1,minpack,model-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-1e-8,1,cholesky,step-only,2.44948975e8,true,8,6,7.07106781e-9,5.00000000e-1,5.55111512e-17,4.53246652e-9,5.00000000e-1,5.00000000e-1,false,false,"SolverConverged","[0.5000000000020665, -0.5000000000020665]"
collinear-1e-8,1,qr,step-only,2.44948975e8,true,8,6,7.07106781e-9,5.00000000e-1,5.55111512e-17,4.53246652e-9,5.00000000e-1,5.00000000e-1,false,false,"SolverConverged","[0.5000000000020173, -0.5000000000020173]"
collinear-1e-8,1,trust-cholesky,step-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"SolverConverged","[1.0000000000000002, -1.0000000000000002]"
collinear-1e-8,1,trust-qr,step-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.31430705e-9,3.31430705e-9,true,true,"SolverConverged","[1.000000003314307, -1.000000003314307]"
collinear-1e-8,1,minpack,step-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-1e-8,1,cholesky,exact-progress,2.44948975e8,true,51,6,7.07106781e-9,5.00000000e-1,5.55111512e-17,4.53246652e-9,5.00000000e-1,5.00000000e-1,false,false,"SolverConverged","[0.5000000000020665, -0.5000000000020665]"
collinear-1e-8,1,qr,exact-progress,2.44948975e8,true,51,6,7.07106781e-9,5.00000000e-1,5.55111512e-17,4.53246652e-9,5.00000000e-1,5.00000000e-1,false,false,"SolverConverged","[0.5000000000020173, -0.5000000000020173]"
collinear-1e-8,1,trust-cholesky,exact-progress,2.44948975e8,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"SolverConverged","[1.0000000000000002, -1.0000000000000002]"
collinear-1e-8,1,trust-qr,exact-progress,2.44948975e8,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.31430705e-9,3.31430705e-9,true,true,"SolverConverged","[1.000000003314307, -1.000000003314307]"
collinear-1e-8,1,minpack,exact-progress,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-0e0,0,cholesky,relative,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,qr,relative,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,trust-cholesky,relative,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,trust-qr,relative,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,minpack,relative,inf,true,1,0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"ResidualsZero","[0.0, 0.0]"
