case,start,solver,stopping,condition,converged,residual_calls,jacobian_calls,residual_norm,relative_residual,gradient_infinity,gradient_orthogonality,parameter_error,equivalent_parameter_error,fit_target,recovery_target,termination,parameters
collinear-0e0,1,trust-qr,gradient-only,inf,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,4.37624221e-1,4.37624221e-1,true,false,"SolverConverged","[0.5623757793468938, -0.5623757793468938]"
collinear-0e0,1,minpack,gradient-only,inf,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.00000000e0,2.00000000e0,true,false,"ResidualsZero","[-1.0, 1.0]"
collinear-0e0,1,trust-cholesky,step-only,inf,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"SolverConverged","[1.0000000000000002, -1.0000000000000002]"
collinear-0e0,1,trust-qr,step-only,inf,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,4.37624221e-1,4.37624221e-1,true,false,"SolverConverged","[0.5623757793468938, -0.5623757793468938]"
collinear-0e0,1,minpack,step-only,inf,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.00000000e0,2.00000000e0,true,false,"ResidualsZero","[-1.0, 1.0]"
collinear-0e0,1,trust-cholesky,radius-only,inf,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"SolverConverged","[1.0000000000000002, -1.0000000000000002]"
collinear-0e0,1,trust-qr,radius-only,inf,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,4.37624221e-1,4.37624221e-1,true,false,"SolverConverged","[0.5623757793468938, -0.5623757793468938]"
collinear-0e0,1,minpack,radius-only,inf,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.00000000e0,2.00000000e0,true,false,"ResidualsZero","[-1.0, 1.0]"
scaled,0,trust-cholesky,gradient-only,1.00000000e16,true,23,23,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, 1.0, 1.0]"
scaled,0,trust-qr,gradient-only,1.00000000e16,true,22,22,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, 1.0, 1.0]"
