case,start,solver,profile,row,boundary,residual_calls,jacobian_calls,trial_evaluated,accepted,trial_unchanged,base_residual_norm,base_relative_residual,base_gradient_inf,base_orthogonality,base_equivalent_parameter_error,actual_relative_reduction,reconstructed_linear_relative_reduction,reconstructed_relative_step,reconstructed_scaled_relative_step,svd_rank,svd_relative_model_potential,svd_relative_step,svd_scaled_relative_step,reason
collinear-1e-8,0,trust-cholesky,gradient-only,boundary,8,9,8,true,true,false,2.3709414331084472e-9,1.6765087660295744e-1,1.1102230246251565e-16,2.7035149507970146e-8,1.6765087749809027e-1,3.9965391329001548e-1,3.9965393573830627e-1,4.3387643762637838e-2,4.3387643762637845e-2,2,1.0000000000000007e0,2.0141893858650967e-1,2.0141893858650964e-1,None
collinear-1e-8,0,trust-cholesky,gradient-only,boundary,9,10,9,true,true,false,1.8370529242950894e-9,1.2989925808513672e-1,2.5979851485024844e-17,8.1649658145721560e-9,1.2989925639703870e-1,3.9965394425001027e-1,3.9965393804166771e-1,3.2524228623430379e-2,3.2524228623430386e-2,2,1.0000000000000009e0,1.4929220459049564e-1,1.4929220459049566e-1,None
collinear-1e-8,0,trust-cholesky,gradient-only,boundary,10,11,10,true,true,false,1.4233853744830512e-9,1.0064854510684883e-1,2.0129709040177008e-17,8.1649658145721560e-9,1.0064854403026402e-1,3.9965393585718367e-1,3.9965393852805881e-1,2.4580972546351904e-2,2.4580972546351901e-2,2,1.0000000000000004e0,1.1191236145746972e-1,1.1191236145746973e-1,None
collinear-1e-8,0,trust-cholesky,gradient-only,first-unchanged,97,98,68,true,false,true,4.7102773760513248e-16,3.3306690756285863e-8,6.6613381565706566e-24,8.1649658145721560e-9,3.7907145977733592e-8,0.0000000000000000e0,-0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,2,1.0000000000000009e0,3.3306692055559164e-8,3.3306692055559164e-8,None
collinear-1e-8,0,trust-cholesky,gradient-only,boundary,599,600,68,true,false,true,4.7102773760513248e-16,3.3306690756285863e-8,6.6613381565706566e-24,8.1649658145721560e-9,3.7907145977733592e-8,0.0000000000000000e0,-0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,2,1.0000000000000009e0,3.3306692055559164e-8,3.3306692055559164e-8,None
collinear-1e-8,0,trust-cholesky,gradient-only,final,599,600,68,false,false,false,4.7102773760513248e-16,3.3306690756285863e-8,6.6613381565706566e-24,8.1649658145721560e-9,3.7907145977733592e-8,,,,,2,1.0000000000000009e0,3.3306692055559164e-8,3.3306692055559164e-8,Some(MaxIter)
collinear-1e-8,0,trust-qr,relative,boundary,1,2,1,true,true,false,1.4142135616287155e-8,1.0000000000000000e0,1.1102230246251565e-16,4.5324665132184805e-9,1.0000000000000000e0,9.9999999999999922e-1,9.9999999999999911e-1,1.0000000000000000e0,1.0000000000000000e0,2,1.0000000000000004e0,inf,inf,None
collinear-1e-8,0,trust-qr,relative,boundary,2,3,2,true,true,false,3.8459253727671276e-16,2.7194799124524506e-8,6.6613381477509392e-16,1.0000000000000002e0,2.2368082941426337e-9,1.0000000000000000e0,1.0000000000000002e0,1.5700924551717795e-16,1.5700924551717797e-16,2,1.0000000000000000e0,1.1102230221418010e-16,1.1102230221418011e-16,Some(SolverConverged)
collinear-1e-8,0,trust-qr,relative,final,2,3,2,false,false,false,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,2.2368080720980288e-9,,,,,2,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,Some(SolverConverged)
collinear-1e-8,0,trust-qr,gradient-only,boundary,1,2,1,true,true,false,1.4142135616287155e-8,1.0000000000000000e0,1.1102230246251565e-16,4.5324665132184805e-9,1.0000000000000000e0,9.9999999999999922e-1,9.9999999999999911e-1,1.0000000000000000e0,1.0000000000000000e0,2,1.0000000000000004e0,inf,inf,None
